연도,년월,기온,최고기온,극점최고기온,최저기온,극점최저기온,강수량,상대습도,풍속,최대풍속,최대순간풍속
2010,2010. 11,6.5,11.3,17.4,2.5,-5.2,10.9,55,2.8,10.5,18
2010,2010. 12,-1.3,3.1,13.5,-5.1,-15.1,16.1,56,3,9.1,14.4
2011,2011. 01,-7.2,-3.4,0.3,-10.5,-17.8,8.9,54,2.8,8,14.4
2011,2011. 02,1.2,5.9,13.2,-2.5,-9.2,29.1,55,2.6,10.6,17.4
2011,2011. 03,3.6,8.3,16.8,-0.1,-5.5,14.6,51,3.4,9.9,15.4
2011,2011. 04,10.7,15.6,19,6.8,4.3,110.1,54,3.2,9.5,16.4
2011,2011. 05,17.9,23,31.2,13.6,8.5,53.4,56,2.8,9.7,16.4
2011,2011. 06,22,26.6,32.9,18.4,14.4,404.5,67,2.9,10.9,19
2011,2011. 07,24.6,28,34.1,22,18.9,"1,131.0",79,2.4,9.3,16.7
2011,2011. 08,25.8,29.5,34.1,23,18.1,166.8,74,2.5,9.4,15.6
2011,2011. 09,21.8,26.6,32.4,17.7,10.3,25.6,58,2.4,7.6,15
2011,2011. 10,14.2,19.3,23.4,9.7,3.1,32.0,55,2.1,7.1,13.6
2011,2011. 11,10.7,14.7,25.9,7.2,-5.5,56.2,60,2.7,9.7,16.1
2011,2011. 12,-0.9,2.9,9.1,-4.1,-10.6,7.1,50,2.6,7.7,13.3
2012,2012. 01,-2.8,1.3,8.4,-6.3,-12.2,6.7,48.9,2.5,7.5,12.6
2012,2012. 02,-2,3,12.1,-6,-17.1,0.8,43.2,2.9,8.1,12.5
2012,2012. 03,5.1,9.5,16.2,1.5,-5.7,47.4,51.8,3.5,10.2,18
2012,2012. 04,12.3,17.9,29.4,7.8,0.6,157.0,54.1,3.4,12,20
2012,2012. 05,19.7,25.1,29.3,15.4,12,8.2,48.2,2.7,8.6,15.7
2012,2012. 06,24.1,29.7,33.5,20,16.3,91.9,54.1,2.8,9.1,19.2
2012,2012. 07,25.4,29,33.2,22.4,18.5,448.9,73.8,2.7,7.7,15.2
2012,2012. 08,27.1,30.9,36.7,23.9,18.7,464.9,68,3,13.7,24
2012,2012. 09,21,25,29.5,17.4,12,212.0,65.2,2.3,11.5,20.4
2012,2012. 10,15.3,20.5,26,11,2.8,99.3,58.2,2.3,7.2,12.6
2012,2012. 11,5.5,9.5,15.7,1.8,-3,67.8,57.2,2.7,9.3,19
2012,2012. 12,-4.1,-0.5,8.3,-7.4,-14.5,41.4,57,2.7,8.8,14.3
2013,2013. 01,-3.4,0.3,11.5,-6.6,-16.4,22.1,57.1,2.7,8.2,13.5
2013,2013. 02,-1.2,2.8,13.9,-4.9,-15.8,74.1,53.6,2.9,8.4,14.8
2013,2013. 03,5.1,10.8,23.8,0.7,-4.4,27.3,49.2,3,8.8,15.4
2013,2013. 04,10,15,21.6,5.7,1.3,71.7,54,3.4,9.9,17.7
2013,2013. 05,18.2,23.6,31.8,13.7,7.9,132.0,57.8,2.9,8.5,11.6
2013,2013. 06,24.4,29.2,32.6,20.5,16.3,28.3,60.1,2.2,6.2,10.4
2013,2013. 07,25.5,28.3,31.3,23.4,20.5,676.2,79.3,3.4,10.9,18
2013,2013. 08,27.7,31.1,33.9,24.8,21.1,148.6,69.3,2.8,9.9,15.6
2013,2013. 09,21.8,25.9,31.1,18,10.9,138.5,62.9,2.2,6.2,11
