사고발생여부,인구수,생활인구수_주중,생활인구수_주말,전통시장여부,지하철출입구개수,버스정류장개수,과속방지턱개수,교차로개수,횡단보도개수,주거,상업,녹지
1,0,353.3906993,400.9032527,0,0,0,0,0,0,1.000000885,0,0
0,0,331.548486,329.2898006,0,0,1,0,0,2,0.536796521,0,0.372422044
1,0,243.3432035,245.9343918,0,0,1,2,0,3,0.860017893,0.100334549,0.038764086
0,0,523.0221403,494.3528492,0,0,0,0,0,0,0.855827104,0.144172051,0
0,0,176.8469573,150.1719394,0,0,0,0,2,1,0.439170817,0,0
0,2364.058214,473.4861549,506.9982651,0,0,0,0,0,0,0.990443196,0,0.009565968
1,1072.622723,656.3103321,629.8341428,1,0,0,0,0,0,0.582493774,0.417496103,0
1,0,433.0612574,432.7315737,0,0,0,0,1,3,0.999800718,0,0
0,1895.128273,634.4214808,633.7723949,0,0,0,0,0,0,0.893429213,0.106580134,0
0,0,48.98635835,41.1917285,0,0,0,0,0,0,0.271195644,0,0.494494304
0,0,331.4856238,344.3192399,0,0,0,0,1,2,0.382235213,0.617972665,0
0,0,283.9992433,286.9607246,0,0,0,0,0,0,0.999894732,0,0
1,1166.835431,655.6187775,551.379881,1,0,0,1,0,0,0.839757396,0.159955215,0
0,0,403.031973,400.412136,0,0,0,0,0,0,0.927242178,0.072148448,0
0,0,197.1448911,174.7714577,0,0,0,0,0,0,0.857404722,0.140119903,0
1,0,602.9316942,652.3860305,0,0,0,2,0,2,0.519293076,0.026622568,0
0,0,396.9856954,336.4901508,0,0,1,0,0,1,0.819645931,0.180376147,0
0,0,176.8546868,166.7105386,0,0,0,0,0,0,0.537006751,0,0
1,2182.749307,410.8939894,403.1605516,0,0,2,0,0,2,0.817084682,0.182309732,0
1,2132.460124,561.666248,571.6658716,0,0,1,0,0,0,0.879094395,0.114632609,0
1,1863.982296,458.3416048,448.4801726,0,0,0,0,0,0,0.7853606,0.214635023,0
0,0,102.5359982,101.4917428,0,0,0,0,0,0,0.999836076,0,0
0,0,243.161253,230.6459365,0,0,0,0,0,0,0.999616562,0,0
1,0,190.476764,166.2040141,0,0,0,2,0,2,0.711215262,0,0
0,2615.083529,696.7776038,731.1531515,0,0,0,0,0,0,0.999987881,0,0
1,2038.238726,546.9495403,552.6127352,1,0,2,0,0,0,0.882088012,0.111638963,0
0,2361.940177,727.2520186,742.5826205,0,0,0,1,0,0,0.976503315,0,0.023500036
0,2186.152298,684.9102253,663.6806589,0,0,0,0,0,2,0.999997395,0,0
1,0,379.7844872,398.4363355,0,0,0,0,0,0,0.9999795,0,0
1,2691.358625,765.1239976,804.973347,0,0,0,0,1,0,0.970725641,0,0
0,1805.282177,562.1774599,524.4335713,0,0,0,0,0,0,0.999967098,0,0
1,1900.288411,479.2967448,472.6439103,0,0,0,2,1,1,0.855514668,0.144477721,0
1,0,641.1153834,644.8779704,0,0,2,2,0,0,0.999991986,0,0
0,0,295.2164823,289.0599498,0,0,0,0,0,0,0.923504504,0,0.076454682
1,0,172.7386288,193.6326727,0,0,1,0,2,0,0.126677,0,0.873326645
1,3065.650705,641.7242092,656.6259484,0,0,0,0,1,2,0.999780054,0,0
0,1333.568759,386.9621509,363.4555838,0,2,0,0,0,0,0.966545833,0.033467243,0
0,2571.646226,619.8276631,602.3870274,0,0,0,1,0,2,0.999983638,0,0
1,2589.209787,728.9799868,753.4256092,0,0,1,0,1,5,1.000035697,0,0
1,0,313.7114339,320.2159132,0,0,0,0,1,2,0.997393109,0,0
1,2759.200216,777.8572325,795.1178088,1,0,0,3,1,0,0.98321549,0.016782053,0
1,0,202.4289882,197.7190838,0,0,0,0,0,0,0.949023711,0,0.048884197
0,0,276.8411018,219.2640415,0,0,0,0,0,1,0.436302889,0.12589787,0.437817118
1,1454.676456,622.4349052,530.0738758,0,0,2,0,1,2,0.947469898,0,0.052541196
1,0,500.5486734,489.7709154,1,0,1,0,0,1,0.968530323,0.031704263,0
1,0,319.5544727,334.9904028,0,0,0,0,1,3,0.935257197,0,0
0,0,517.757663,558.5164979,0,0,0,2,0,0,0.744666743,0.114444257,0.136761714
0,0,262.5355328,248.5781595,0,0,0,0,0,0,0.998895215,0,0
0,0,212.7846252,200.779735,0,0,0,1,0,2,0.840828652,0.159319854,0
1,2006.222496,705.2092471,716.0817985,1,2,0,0,0,3,1.000094008,0,0
0,1205.143812,260.5184557,257.2970237,0,0,0,0,0,0,0.999093346,0,0
1,1238.238957,392.6299278,363.2289931,0,0,2,2,0,2,1.000003347,0,0
0,646.7037023,173.2059564,181.5497527,0,0,0,0,0,0,0.98854505,0,0
0,1878.28695,466.2185672,496.748383,0,0,0,0,0,3,0.351120492,0.648865217,0
1,0,361.8290561,375.8800087,0,0,1,0,0,1,0.921403913,0,0
1,0,463.3174372,429.2735271,1,0,0,0,0,0,1.00000149,0,0
1,0,433.1452807,426.1713762,0,0,0,0,1,1,0.999394691,0,0
1,0,360.5985217,379.8772739,0,0,2,0,0,1,0.955756019,0,0
1,1252.098513,382.2748536,381.8157863,0,0,0,1,0,0,0.999814708,0,0
0,2069.611368,413.2732079,406.7380297,0,0,1,0,0,2,0.872425026,0.126968418,0
0,0,594.8392241,614.608149,0,0,0,0,0,0,0.990859288,0,0
1,1246.506552,539.6197327,421.2741418,0,0,0,0,0,0,0.594897659,0.405099422,0
0,1862.181561,628.3816133,630.6859017,0,0,0,0,0,0,0.907157849,0.092843742,0
0,786.479518,343.0209248,341.2678501,0,0,0,0,0,0,0.997940231,0.00206365,0
1,403.1981435,362.090335,309.782522,0,1,2,0,0,3,0.813155607,0.17033137,0.016638532
1,0,133.1191387,133.8311981,0,1,1,0,0,0,0.409882633,0,0.016147634
1,1228.065402,230.018913,243.7902228,0,0,0,0,1,3,0.939318814,0.060141807,0
1,3011.632946,680.9356834,695.705849,0,0,0,0,1,5,0.999780506,0,0
1,0,316.1851591,320.2918391,0,0,0,0,0,0,0.906221905,0,0
0,0,441.2258655,398.7928979,0,0,3,0,0,2,0.88064319,0.103660222,0
0,0,104.544538,193.080557,0,0,0,0,0,0,1.00000138,0,0
1,2283.315969,665.8965444,684.5278133,1,0,2,1,1,1,0.999886386,0,0
1,0,370.8848652,379.7768528,0,0,2,0,0,0,0.594892405,0.039387475,0.365931827
0,1294.603943,410.3145709,382.2325886,0,0,0,0,1,1,1.002573435,0,0
1,0,314.7614174,294.6980104,0,0,1,0,0,0,1.002566027,0,0
1,2289.034227,524.5769009,524.7328452,1,0,0,0,0,1,1.000051005,0,0
1,0,329.2223209,295.3585901,1,0,0,1,1,3,0.902087462,0.097896852,0
0,0,284.7163165,266.0438937,0,0,0,3,0,1,0.999183299,0,0
0,0,208.9858902,168.187444,0,0,0,0,1,2,0.840103225,0.159923988,0
1,0,734.5093668,725.6576162,0,0,1,0,0,0,0.870990823,0,0
1,0,614.1503516,621.0013794,0,0,2,4,1,2,0.877698693,0,0.099173561
1,0,382.3010812,327.1042475,0,0,0,1,0,0,1.000028416,0,0
1,0,616.4353178,509.8493079,0,0,0,1,0,0,0.956918272,0,0.043063471
1,1872.529338,484.2221174,501.5497499,0,0,0,0,0,0,0.953129332,0.044477193,0
1,0,335.2667908,343.2538464,0,0,0,0,0,1,0.910622931,0,0
1,2855.667505,569.7105399,589.5544796,1,0,0,0,0,0,1.000022031,0,0
1,0,116.5158983,123.2537593,0,0,0,0,1,2,0.408700986,0,0.013142112
0,0,153.3288445,144.6551037,0,0,0,2,0,0,0.99999623,0,0
1,0,482.5309119,446.6917064,1,0,0,0,0,0,1.000000257,0,0
1,0,334.5072662,351.7820765,1,0,1,0,0,0,0.998061906,0,0
0,2443.217341,358.1181406,347.4556743,0,0,0,0,0,0,1.000000268,0,0
1,2183.899238,407.1822601,397.8943044,0,0,2,0,0,2,0.779869854,0.219522225,0
0,1307.747037,400.065965,373.0212461,0,0,0,0,0,1,1.002573458,0,0
0,0,500.0592173,479.9054623,0,0,1,0,1,1,0.977585191,0.006963499,0
0,0,312.2931014,315.6692552,0,0,0,0,0,0,0.54099142,0,0.140179802
0,0,344.7149636,326.0381614,0,0,0,0,0,0,0.690233548,0,0.310149147
1,0,177.3401823,201.9214252,0,0,0,0,0,0,0.913910172,0,0.086475265
0,0,268.9695934,213.3586738,0,0,0,0,0,0,0.445424055,0.120695274,0.43389903
1,0,307.337875,276.7510382,0,0,2,0,1,5,0.562277613,3.99E-06,0.436968263
0,2643.623771,471.6316324,503.7520631,0,0,0,0,0,0,1.000010874,0,0
1,1096.483118,276.3846968,246.2610568,0,0,2,0,1,1,0.99998904,0,0
0,0,165.597958,162.9122584,0,0,0,0,0,0,0.820932826,0,0.179065572
1,3004.302244,374.6383386,381.7779464,0,0,0,1,0,1,1.000038605,0,0
0,0,190.944666,168.2599274,0,0,0,0,0,0,0.882233295,0.115294595,0
0,1897.855054,628.2970725,629.5954508,0,0,0,0,0,0,0.901210173,0.098799962,0
1,0,369.9256499,384.4803466,0,0,0,0,1,2,0.995824813,0,0
0,2345.269864,661.1380328,671.1741452,0,0,0,0,0,0,0.993299063,0,0
1,2454.37853,668.4638348,689.9963133,0,0,0,0,1,2,0.999979554,0,0
1,2419.047083,496.9751508,514.6606988,0,0,0,1,1,1,1.000018922,0,0
0,1825.91557,409.3879445,395.710285,0,0,0,0,0,0,0.682335309,0.317049029,0
1,0,490.636668,474.2448692,1,0,1,0,1,1,0.994005875,0,0
0,0,227.4878022,188.7821328,0,0,2,0,1,2,0.534480192,0.013868406,0.451621508
1,0,578.1075782,625.4020364,0,0,0,2,0,1,0.533281619,0.023683264,0
0,0,320.3194797,325.0963045,0,0,0,0,0,0,0.999750782,0,0
0,0,146.6788891,166.6560033,0,0,2,0,0,1,0.450323748,0,0.022324687
1,0,197.6141729,174.3841881,0,0,2,0,0,2,0.747675033,0,0.227408105
0,0,236.7500247,221.755675,0,0,0,4,0,2,0.999966822,0,0
