지역1,지역2,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
서울,강동구,702968,703944,705429,711976,719000,740921,787716,787881,788179,787343,785164,784776
경기,과천시,1119833,1141229,1152688,1173167,1202104,1244646,1277104,1274688,1273625,1271167,1259229,1252208
경기,안양시,465987,466460,468872,471715,475256,483244,501499,509480,521684,529028,533489,537566
경기,성남시,739670,741980,745558,752531,760277,769743,835824,836599,836927,836267,836216,836785
경기,군포시,334964,335073,337364,339500,340091,343545,347884,351670,372098,386643,391866,394009
경기,의왕시,413577,413321,415449,417551,421167,432462,461138,466150,473900,481513,486500,490375
경기,안성시,144750,143490,142885,142520,142340,142275,150091,149759,149792,149821,149726,149915
경기,용인시,399124,400159,401033,401830,403960,408482,419406,431323,444189,449132,451502,457285
경기,수원시,344983,345939,346987,348336,350581,355992,391685,412633,433729,438176,439945,445036
경기,부천시,313726,314464,316113,318679,322327,324720,343335,345676,351371,355994,358671,362547
경기,안산시,251175,251043,251340,252352,253671,257363,269946,271960,278477,287180,292709,300144
경기,시흥시,232972,232479,232662,232282,232585,232873,252934,256125,264336,273184,275283,277678
경기,광명시,483964,488839,494170,499902,506098,519000,562816,569877,580044,585289,587667,589947
경기,화성시,322670,322619,322966,323273,325449,328261,353651,361382,376292,383264,386066,391241
경기,오산시,202198,201983,201815,201642,201418,200754,205779,206328,214180,219320,222197,225770
경기,평택시,184435,183262,182614,182133,181546,180880,193599,193582,196679,198551,200011,202699
경기,남양주시,304549,305083,306099,306522,307163,308494,321247,324274,328538,333349,335597,339038
경기,구리시,427787,428989,431383,433755,438915,441521,461719,468479,487781,504438,512604,520500
경기,하남시,544815,549861,553565,560139,568509,581074,651784,654845,663241,664871,663819,670922
경기,광주시,276564,275555,275600,275891,276091,276909,286983,287483,287975,289208,291400,299375
경기,이천시,179037,178409,178006,178012,177780,177482,196751,196696,196810,196530,196625,196643
경기,여주시,136106,135644,134923,134356,133740,132952,133273,132692,132260,131837,131538,131538
경기,김포시,316394,315873,315423,314979,315183,315528,339200,339438,339944,340300,340188,340744
경기,고양시,336855,335418,334718,334326,334308,335721,354826,355842,357674,360326,362545,366084
경기,파주시,237778,237036,236560,236181,236077,236052,263913,264049,263966,263928,263996,264186
경기,포천시,140852,140722,140278,140259,140259,140315,137357,137179,137179,136795,136571,136661
경기,동두천시,138750,138250,137833,137500,137133,136950,142435,142056,142169,142024,141694,141331
경기,양주시,177670,177120,177010,176440,176190,175900,193942,194269,194721,194798,195346,198644
경기,의정부시,236123,236022,236116,236355,236486,236935,246397,246630,246938,247356,247870,249243
인천,중구,219861,220167,220778,221611,222021,223715,255071,255548,258714,262012,263470,265732
인천,동구,164593,164315,165056,165148,165056,164694,164102,163694,163519,163741,164185,164694
