지역1,지역2,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07
경기,수원시,296647,296771,296931,297162,297480,297775,298061,298450,298703,299822,300252,300583,316671,317073,318288,319668,320741,321637,322557,323391,323728,325138,327262,329000,330619,347353,347195,346809,346141,345145,344626,344983,345939,346987,348336,350581,355992,391685,412633,433729,438176,439945,445036,450633,453423,455554,457992,459897,463290,468955,477390,484074,490885,495618,507138
경기,장안구,263337,263384,263523,263756,264186,264477,264930,265267,265500,265721,265802,266140,297912,296873,296118,296137,296206,296098,296020,296039,296020,296157,296608,298441,299931,309029,309019,308942,308596,307837,306885,306606,306913,306952,307250,307462,307404,328885,338394,356135,361615,362500,366644,369981,370923,371760,373058,374337,375462,376808,380019,383654,385990,388856,396452
경기,권선구,256115,256094,256281,256740,257031,257500,257729,258271,258396,258688,258958,259375,270182,270000,270045,269582,269427,269264,268673,269045,269055,269973,271755,272364,273164,284974,285155,284724,283983,283509,283147,282845,282914,283224,283353,283707,285595,318653,339907,363305,367229,367805,370805,374390,376483,378025,378958,379712,382314,386492,391542,397424,405763,409746,423110
경기,팔달구,275913,276113,276275,276638,277213,277650,277975,278450,278863,279138,279338,279788,295211,296316,298184,299684,300724,300803,300987,302263,303500,305145,308421,312329,316197,330486,330351,330851,330378,329514,329068,328446,329311,330500,331311,332797,337919,360986,380649,400824,406351,413189,418838,424743,426919,427919,428351,429351,431014,434986,443243,448486,456838,463419,475946
경기,영통구,356466,356720,356873,356890,357059,357178,357381,357661,357966,360602,361466,361686,372587,374143,377333,380992,383690,386357,389365,390937,391444,393992,397079,398857,400397,428129,427593,426736,425850,424236,423850,425486,427607,429857,433057,438407,450314,499845,528211,549901,553754,555338,562507,571035,575754,579549,584577,588099,594134,604282,618775,628507,636415,642310,654507
경기,부천시,268423,268342,268342,268265,268365,268742,269251,269745,270876,271623,272055,272750,289772,290346,291019,291395,291809,291654,292130,292728,293037,294377,299981,304469,304519,314024,313774,313750,313786,313155,313161,313726,314464,316113,318679,322327,324720,343335,345676,351371,355994,358671,362547,366676,370076,372088,374047,376318,380800,385494,394224,402965,412024,419288,431188
경기,안산시,268550,268484,268405,268405,268468,268283,268346,268327,268528,268677,268618,268146,277291,276902,276348,275739,274908,272977,270923,267560,262183,260574,259663,258616,257314,254523,253587,253276,252651,252359,251429,251175,251043,251340,252352,253671,257363,269946,271960,278477,287180,292709,300144,304197,305620,305309,305350,305924,306647,308363,319988,332125,349939,362563,380573
경기,상록구,256692,256654,256474,256474,256449,256423,256397,256269,256077,256077,255859,255295,261556,260756,260300,259689,259211,257344,255867,252322,246267,244189,243344,242456,241156,242683,241728,241170,240170,240011,238307,238023,237864,238489,239761,240648,244909,254477,256727,263534,270580,274830,280693,284489,285545,285420,285466,285545,285932,287216,301614,314739,329943,340045,354818
경기,단원구,277889,277800,277800,277800,277933,277622,277756,277822,278333,278600,278667,278267,289216,289137,288510,287902,286804,284824,282333,279108,274245,272990,272029,270863,269559,264150,263230,263120,262800,262400,262100,261870,261760,261790,262590,264260,267490,281796,283630,289926,299898,306407,315046,319296,321000,320546,320583,321537,322519,324565,334065,345444,365259,379815,400306
경기,시흥시,207125,207170,207107,207143,207277,207647,207879,208004,209098,210045,210750,211223,219394,219167,218977,218773,218553,218182,217864,217447,216902,216826,217136,217386,217159,237831,237577,237000,235345,234542,233817,232972,232479,232662,232282,232585,232873,252934,256125,264336,273184,275283,277678,280605,281941,282125,282375,282789,285112,287770,294171,303882,318204,331362,351737
경기,광명시,377125,377583,378104,378625,379417,380604,382990,384625,386990,387906,389052,390750,391018,391900,393482,394900,396264,397891,400145,402473,412800,428691,435736,437391,436609,498125,494446,488688,481741,475411,476527,483964,488839,494170,499902,506098,519000,562816,569877,580044,585289,587667,589947,598246,609632,618509,611851,617368,622605,629096,639272,649596,657833,664921,674579
