order_date,product,quantity,amount
2019-01-04,p1231011,2,1818
2019-01-04,p1005771,1,1850
2019-01-04,p1089531,1,2600
2019-01-04,p1175481,2,2600
2019-01-04,p1201601,1,2700
2019-01-04,p1012751,1,1350
2019-01-04,p1012761,1,1700
2019-01-04,p1097821,1,1000
2019-01-04,p1175481,1,1300
2019-01-04,p1246581,1,1136
2019-01-04,p1052661,1,1455
2019-01-04,p1001771,1,3150
2019-01-04,p1097821,1,1000
2019-01-04,p1072601,1,4600
2019-01-04,p1072601,1,4600
2019-01-04,p1012811,1,2500
2019-01-04,p1030071,1,3950
2019-01-04,p1246581,3,3408
2019-01-04,p1013161,1,2900
2019-01-04,p1194801,1,8200
2019-01-04,p1089531,1,2600
2019-01-04,p1052661,1,1455
2019-01-04,p1175481,1,1300
2019-01-04,p1013161,1,2900
2019-01-04,p1194801,1,8200
2019-01-04,p1012751,1,1350
2019-01-04,p1012811,1,2500
2019-01-04,p1005891,1,1950
2019-01-04,p1030071,1,3950
2019-01-04,p1089531,1,2600
2019-01-04,p1100371,4,1600
2019-01-04,p1005621,1,2900
2019-01-04,p1139701,1,1045
2019-01-04,p1175481,1,1300
2019-01-04,p1005771,1,1850
2019-01-04,p1005771,2,3700
2019-01-04,p1100371,2,800
2019-01-04,p1089531,1,2600
2019-01-04,p1194801,1,8200
2019-01-04,p1072601,1,4600
2019-01-04,p1089531,1,2600
2019-01-04,p1201601,1,2700
2019-01-04,p1012641,2,3100
2019-01-04,p1194801,1,9200
2019-01-04,p1001771,1,3150
2019-01-04,p1005621,1,2900
2019-01-04,p1175481,1,1300
2019-01-04,p1005771,1,1850
2019-01-04,p1005771,1,1850
2019-01-04,p1005891,1,1950
2019-01-04,p1005621,1,2900
2019-01-04,p1013161,1,2900
2019-01-04,p1119071,1,1091
2019-01-04,p1133371,1,1000
2019-01-04,p1127201,2,7454
2019-01-04,p1246581,1,1136
2019-01-04,p1133371,1,1000
2019-01-04,p1072601,1,4600
2019-01-04,p1119071,2,2182
2019-01-04,p1194801,1,8200
2019-01-04,p1139701,2,2090
2019-01-04,p1246581,2,2272
2019-01-04,p1072601,1,4600
2019-01-04,p1052661,1,1455
2019-01-04,p1175481,2,2600
2019-01-04,p1005771,1,1850
2019-01-04,p1005891,1,1950
2019-01-04,p1005621,1,2900
2019-01-04,p1133371,3,3000
2019-01-04,p1149411,1,1000
2019-01-04,p1178011,1,8800
2019-01-04,p1127201,1,3727
2019-01-04,p1072601,1,4600
2019-01-04,p1030071,2,7900
2019-01-04,p1005771,2,3700
2019-01-04,p1005771,1,1850
2019-01-04,p1194801,1,8200
2019-01-04,p1175481,1,1300
2019-01-04,p1178011,1,8800
2019-01-04,p1012751,1,1350
2019-01-04,p1089531,1,2600
2019-01-04,p1127201,1,3727
2019-01-04,p1005771,1,1850
2019-01-04,p1175481,1,1300
2019-01-04,p1012751,1,1350
2019-01-04,p1256521,1,1850
2019-01-04,p1005771,1,1850
2019-01-04,p1054261,1,2091
2019-01-04,p1178011,1,8800
2019-01-04,p1256521,1,1850
2019-01-04,p1231011,1,909
2019-01-04,p1149391,1,909
2019-01-04,p1089531,1,2600
2019-01-04,p1231011,1,909
2019-01-04,p1234751,1,909
2019-01-04,p1005891,1,1950
2019-01-04,p1072601,2,9200
2019-01-04,p1194801,1,8200
2019-01-04,p1012811,1,2500
2019-01-04,p1072601,1,4600
2019-01-04,p1097821,1,1000
2019-01-04,p1072601,2,9200
2019-01-04,p1207281,1,2600
2019-01-04,p1030071,1,3950
2019-01-04,p1194801,1,8200
2019-01-04,p1178011,1,8800
2019-01-04,p1178011,1,8800
2019-01-04,p1005771,1,1850
2019-01-05,p1012581,1,1000
2019-01-05,p1072601,2,9200
2019-01-05,p1026741,1,2582
2019-01-05,p1178011,1,8800
2019-01-05,p1178011,1,8800
2019-01-05,p1194801,1,8200
2019-01-05,p1012751,1,1350
2019-01-05,p1005891,1,1950
2019-01-05,p1012751,1,1350
2019-01-05,p1012811,1,2500
2019-01-05,p1207281,1,2600
2019-01-05,p1012951,1,3000
2019-01-05,p1097591,1,600
2019-01-05,p1005771,1,1850
2019-01-05,p1097591,1,600
2019-01-05,p1100371,4,1600
2019-01-05,p1012811,1,2500
2019-01-05,p1013161,1,2900
2019-01-05,p1012811,2,5000
2019-01-05,p1127201,1,3727
2019-01-05,p1194801,1,8200
2019-01-05,p1175481,1,1300
2019-01-05,p1178011,1,8800
2019-01-05,p1030071,1,3950
2019-01-05,p1030071,1,3950
2019-01-05,p1175481,1,1300
2019-01-05,p1089531,1,2600
2019-01-05,p1175481,1,1300
2019-01-05,p1178011,1,8800
2019-01-05,p1072601,1,4600
