OrderID,Seq,OrderDate,ProductID,Qty,Amt,CustomerID
25,1,2016-06-29,p1005771,3,5550,c314144
25,2,2016-06-29,p1191881,1,1750,c314144
25,3,2016-06-29,p1211951,2,3400,c314144
25,4,2016-06-29,p1233511,1,2050,c314144
26,1,2016-06-29,p1207951,1,2800,c345078
26,2,2016-06-29,p1162631,1,4600,c345078
26,3,2016-06-29,p1005771,1,1850,c345078
26,4,2016-06-29,p1072601,1,3220,c345078
27,1,2016-06-29,p1284851,1,2750,c039296
28,1,2016-06-29,p1005891,1,1950,c048405
28,2,2016-06-29,p1200641,1,5200,c048405
29,1,2016-06-29,p1191881,1,1750,c069762
30,1,2016-06-29,p1152861,1,1091,c193651
31,1,2016-06-29,p1191881,1,1750,c237565
31,2,2016-06-29,p1001771,1,3600,c237565
32,1,2016-06-29,p1012581,1,1050,c283663
33,1,2016-06-29,p1097831,1,1455,c299582
33,2,2016-06-29,p1052661,1,1455,c299582
33,3,2016-06-29,p1119071,1,1091,c299582
34,1,2016-06-29,p1211951,1,1700,c300788
34,2,2016-06-29,p1159481,1,1650,c300788
34,3,2016-06-29,p1144371,1,1250,c300788
34,4,2016-06-29,p1012751,2,2500,c300788
34,5,2016-06-29,p1072601,1,4600,c300788
34,6,2016-06-29,p1001771,2,7200,c300788
35,1,2016-06-29,p1191881,2,3500,c345371
36,1,2016-06-29,p1144371,1,1250,c017544
36,2,2016-06-29,p1200641,1,5200,c017544
37,1,2016-06-29,p1246581,2,2272,c111322
38,1,2016-06-29,p1200641,1,5200,c150670
38,2,2016-06-29,p1036481,2,2100,c150670
39,1,2016-06-29,p1012751,3,3561,c166550
40,1,2016-06-29,p1246581,1,1136,c256610
41,1,2016-06-29,p1233511,2,4100,c293026
41,2,2016-06-29,p1162631,1,4600,c293026
42,1,2016-06-29,p1175481,1,1300,c334322
42,2,2016-06-29,p1052661,1,1455,c334322
42,3,2016-06-29,p1097591,1,600,c334322
43,1,2016-06-29,p1013161,1,2950,c350148
44,1,2016-06-29,p1200641,1,5200,c366330
45,1,2016-06-29,p1005891,1,1950,c054396
45,2,2016-06-29,p1162631,1,4600,c054396
45,3,2016-06-29,p1211951,2,3400,c054396
46,1,2016-06-29,p1052661,1,1455,c126138
46,2,2016-06-29,p1235451,1,1227,c126138
47,1,2016-06-29,p1200641,1,5200,c153211
48,1,2016-06-29,p1231011,1,909,c218626
49,1,2016-06-29,p1233511,1,2050,c218997
49,2,2016-06-29,p1006411,1,1091,c218997
50,1,2016-06-29,p1030071,1,2450,c230788
50,2,2016-06-29,p1072601,1,4600,c230788
51,1,2016-06-29,p1005891,2,3900,c302146
52,1,2016-06-29,p1200641,1,5200,c305733
53,1,2016-06-29,p1006281,1,864,c325191
54,1,2016-06-29,p1072601,1,3220,c362929
54,2,2016-06-29,p1012581,1,1050,c362929
55,1,2016-06-29,p1005771,1,1850,c017522
56,1,2016-06-29,p1072601,1,3220,c100599
57,1,2016-06-29,p1100371,6,2400,c207648
58,1,2016-06-29,p1072601,1,4600,c227646
59,1,2016-06-29,p1012761,1,1900,c295995
60,1,2016-06-29,p1200641,1,5200,c300978
60,2,2016-06-29,p1256521,1,1850,c300978
61,1,2016-06-29,p1072601,1,3680,c328222
61,2,2016-06-29,p1255281,1,1182,c328222
62,1,2016-06-29,p1072601,1,4600,c341674
63,1,2016-06-29,p1072601,1,3680,c352708
63,2,2016-06-29,p1005621,1,2900,c352708
64,1,2016-06-29,p1100371,3,1200,c037932
64,2,2016-06-29,p1012641,1,1100,c037932
64,3,2016-06-29,p1012761,1,1900,c037932
65,1,2016-06-29,p1005771,1,1850,c039396
66,1,2016-06-29,p1005621,1,2900,c200338
66,2,2016-06-29,p1012881,1,1600,c200338
66,3,2016-06-29,p1072601,1,3680,c200338
66,4,2016-06-29,p1144371,1,1250,c200338
67,1,2016-06-29,p1005771,1,1850,c272968
68,1,2016-06-29,p1234751,2,1636,c274126
68,2,2016-06-29,p1127201,1,3727,c274126
69,1,2016-06-29,p1149381,4,4728,c307480
70,1,2016-06-29,p1012761,1,1900,c347955
1,1,2016-06-30,p1162631,1,4600,c059737
2,1,2016-06-30,p1231011,2,1818,c060045
3,1,2016-06-30,p1149391,1,909,c099866
3,2,2016-06-30,p1152861,1,1091,c099866
4,1,2016-06-30,p1072601,1,4600,c105872
4,2,2016-06-30,p1012641,1,1100,c105872
4,3,2016-06-30,p1256521,1,1850,c105872
5,1,2016-06-30,p1005891,1,1950,c150417
6,1,2016-06-30,p1255281,1,1182,c179633
6,2,2016-06-30,p1097821,1,1000,c179633
7,1,2016-06-30,p1144371,1,1250,c226820
8,1,2016-06-30,p1097821,1,1000,c300385
9,1,2016-06-30,p1149401,2,1818,c317003
10,1,2016-06-30,p1012881,1,1600,c335053
11,1,2016-06-30,p1030071,1,2450,c343257
11,2,2016-06-30,p1149401,1,909,c343257
12,1,2016-06-30,p1001771,1,3600,c351034
12,2,2016-06-30,p1030071,1,2450,c351034
13,1,2016-06-30,p1012761,1,1900,c352238
13,2,2016-06-30,p1175481,1,1300,c352238
14,1,2016-06-30,p1100371,4,1600,c037261
15,1,2016-06-30,p1100371,2,800,c063941
15,2,2016-06-30,p1139681,1,909,c063941
15,3,2016-06-30,p1139701,1,1045,c063941
15,4,2016-06-30,p1006411,1,1091,c063941
15,5,2016-06-30,p1246581,2,2272,c063941
16,1,2016-06-30,p1005891,1,1950,c070852
17,1,2016-06-30,p1012881,1,1600,c086983
