Date,Open,High,Low,Close,Adj Close,Volume
2016-08-30,6160,6200,6130,6140,5795.975586,302180
2016-08-31,6140,6330,6110,6330,5975.330078,934167
2016-09-01,6360,6370,6230,6230,5880.932617,662599
2016-09-02,6290,6290,6170,6200,5852.61377,401069
2016-09-05,6250,6330,6250,6300,5947.010742,568241
2016-09-06,6300,6340,6250,6290,5937.571289,464053
2016-09-07,6280,6350,6260,6260,5909.251953,547371
2016-09-08,6260,6320,6210,6320,5965.890137,572064
2016-09-09,6360,6370,6150,6270,5918.691406,630165
2016-09-12,6180,6220,6110,6150,5805.415527,617539
2016-09-13,6190,6210,6020,6030,5692.13916,702504
2016-09-19,5990,6030,5950,5990,5654.379883,504518
2016-09-20,5950,6050,5920,6050,5711.018066,481190
2016-09-21,6020,6080,5980,6050,5711.018066,340319
2016-09-22,6050,6120,6040,6070,5729.897949,399495
2016-09-23,6120,6150,6040,6120,5777.096191,483482
2016-09-26,6080,6150,6080,6100,5758.216797,225079
2016-09-27,6050,6150,6050,6130,5786.535645,436697
2016-09-28,6350,6450,6260,6360,6003.648926,2873756
2016-09-29,6470,6800,6440,6790,6409.556152,4831378
2016-09-30,6730,6780,6610,6690,6315.15918,2162082
2016-10-04,6690,6850,6620,6790,6409.556152,1675018
2016-10-05,6770,6880,6720,6830,6447.314941,1420749
2016-10-06,6850,6900,6740,6780,6400.116211,911992
2016-10-07,6770,6840,6710,6790,6409.556152,948064
2016-10-10,6840,7020,6810,6980,6588.910156,1814490
2016-10-11,7040,7050,6870,6900,6513.393066,1196188
2016-10-12,6930,7120,6930,7020,6626.668945,2336786
2016-10-13,7000,7000,6800,6820,6437.875488,1397424
2016-10-14,6850,6910,6800,6800,6418.995605,783281
2016-10-17,6800,6860,6680,6720,6343.477539,1098213
2016-10-18,6690,6850,6680,6830,6447.314941,939541
2016-10-19,6830,6850,6740,6750,6371.796875,574856
2016-10-20,6770,6890,6770,6800,6418.995605,604047
2016-10-21,6810,6840,6750,6800,6418.995605,480285
2016-10-24,6810,6890,6790,6850,6466.194336,730399
2016-10-25,6860,6860,6740,6790,6409.556152,693659
2016-10-26,6760,6760,6490,6690,6315.15918,1302520
2016-10-27,6690,6760,6640,6670,6296.279297,611058
2016-10-28,6680,6740,6560,6620,6249.081055,309775
2016-10-31,6550,6630,6490,6520,6154.68457,556670
2016-11-01,6550,6720,6410,6660,6286.840332,1317448
2016-11-02,6650,6650,6460,6530,6164.123535,773593
2016-11-03,6530,6740,6490,6670,6296.279297,759621
2016-11-04,6700,6780,6610,6750,6371.796875,742001
2016-11-07,6770,6870,6730,6860,6475.633789,905874
2016-11-08,6890,6910,6770,6820,6437.875488,635033
2016-11-09,6860,6860,6330,6500,6135.804688,2086456
2016-11-10,6650,6740,6620,6700,6324.598633,832395
2016-11-11,6660,6870,6630,6870,6485.07373,1318227
2016-11-14,6910,6980,6860,6870,6485.07373,839067
2016-11-15,6950,6990,6860,6920,6532.271973,813149
2016-11-16,6890,7030,6860,6990,6598.350586,1150435
2016-11-17,7000,7030,6960,6980,6588.910156,679419
2016-11-18,7020,7030,6890,6910,6522.83252,678948
2016-11-21,6880,6960,6810,6900,6513.393066,469025
2016-11-22,6910,6920,6790,6830,6447.314941,427227
2016-11-23,6810,6960,6790,6900,6513.393066,541921
2016-11-24,6900,6940,6600,6660,6286.840332,1176472
2016-11-25,6580,6780,6510,6740,6362.35791,1053785
2016-11-28,6670,6780,6530,6740,6362.35791,835844
2016-11-29,6670,6920,6670,6920,6532.271973,839057
2016-11-30,6900,6900,6660,6800,6418.995605,812338
2016-12-01,6770,7050,6740,6940,6551.151367,1465541
2016-12-02,6940,7090,6930,7040,6645.548828,1134525
2016-12-05,7050,7180,7010,7090,6692.74707,1139726
2016-12-06,7180,7190,7100,7160,6758.824707,925778
2016-12-07,7200,7250,7160,7240,6834.342285,872133
2016-12-08,7210,7500,7170,7500,7079.774902,1806284
2016-12-09,7480,7480,7300,7300,6890.980957,1258181
2016-12-12,7400,7400,7300,7310,6900.420898,973824
2016-12-13,7270,7330,7120,7230,6824.902832,1065914
2016-12-14,7230,7360,7170,7170,6768.264648,673477
2016-12-15,7040,7160,6870,7110,6711.626465,1621444
2016-12-16,7050,7110,6940,7010,6617.229492,1025937
2016-12-19,6570,7140,6560,7070,6673.867676,3318701
2016-12-20,7150,7150,6960,7070,6673.867676,679600
2016-12-21,7060,7100,6900,6990,6598.350586,833674
2016-12-22,6940,7000,6890,6940,6551.151367,875730
2016-12-23,6910,6970,6800,6830,6447.314941,705526
2016-12-26,6840,6960,6820,6880,6494.513672,624364
2016-12-27,6930,6930,6800,6820,6437.875488,574442
2016-12-28,6790,7050,6790,6990,6696.539551,1091774
2016-12-29,6950,6980,6860,6920,6629.478516,562017
